,gross_ret,net_ret,cost,turnover,n_hold,n_rest,uni_ew_ret,unselected_ew_ret,held_cc_ret,hs300_ret,hs300_open_to_close,gross_vs_hs300,net_vs_hs300,gross_vs_uni,net_vs_uni,gross_vs_unselected,net_vs_unselected
2012-03-29,-0.010337322160797989,-0.010337322160797989,0.0,0.0,5,184,-0.013963356615320003,-0.014061679760870435,-0.010345064859064213,-0.012840114752111331,-0.008347647916457035,0.0025027925913133423,0.0025027925913133423,0.003626034454522014,0.003626034454522014,0.003724357600072446,0.003724357600072446
2012-03-30,0.011606852614409503,0.011606852614409503,0.0,0.0,5,185,0.0017025170687886588,0.0014347240632707323,0.01161085827295194,0.004820471511451263,0.0028432081028162415,0.00678638110295824,0.00678638110295824,0.009904335545620844,0.009904335545620844,0.01017212855113877,0.01017212855113877
2012-04-05,0.0034808997005078453,0.0034808997005078453,0.0,0.0,5,185,0.02682306271474033,0.027455048621597516,0.0034395841610242337,0.023598934212772038,0.025977377176621852,-0.020118034512264193,-0.020118034512264193,-0.023342163014232486,-0.023342163014232486,-0.02397414892108967,-0.02397414892108967
2012-04-06,0.0014089599247262725,0.0014089599247262725,0.0,0.0,5,185,0.003431485162320447,0.003486568027021293,0.0013934191683891539,0.0027849056363498104,0.004138365256062482,-0.0013759457116235378,-0.0013759457116235378,-0.0020225252375941746,-0.0020225252375941746,-0.0020776081022950204,-0.0020776081022950204
2012-04-09,-0.014531955122273454,-0.014531955122273454,0.0,0.0,5,185,-0.008537338006322387,-0.008376741781101413,-0.014479398339498429,-0.009795898929689573,-0.006128977392449997,-0.004736056192583882,-0.004736056192583882,-0.005994617115951067,-0.005994617115951067,-0.006155213341172042,-0.006155213341172042
2012-04-10,0.00988360939873818,0.00988360939873818,0.0,0.0,5,184,0.009050810521245527,0.009028180116965835,0.00988360939873818,0.009875975193435416,0.01184805100464481,7.634205302763791e-06,7.634205302763791e-06,0.0008327988774926524,0.0008327988774926524,0.0008554292817723446,0.0008554292817723446
2012-04-11,-0.0013287046406886605,-0.0013287046406886605,0.0,0.0,5,185,0.0019589073864118636,0.0020479339751190836,-0.0013350763957552746,9.842097827283958e-05,0.010230036516087226,-0.0014271256189615001,-0.0014271256189615001,-0.003287612027100524,-0.003287612027100524,-0.003376638615807744,-0.003376638615807744
2012-04-12,0.022959393211584644,0.022959393211584644,0.0,0.0,5,187,0.01880253021989729,0.018691576579469307,0.022952196371904023,0.019999714289795856,0.018870886164257028,0.002959678921788788,0.002959678921788788,0.0041568629916873545,0.0041568629916873545,0.0042678166321153364,0.0042678166321153364
2012-04-13,-0.001494749778103066,-0.002650305333658622,0.0011555555555555557,0.888888888888889,9,183,0.0035744519616778877,0.0038469443019237873,-0.0019662256233220735,0.0038973932826960045,0.002097821713891612,-0.005392143060799071,-0.006547698616354626,-0.005069201739780954,-0.00622475729533651,-0.005341694080026853,-0.00649724963558241
2012-04-16,-0.0009995462818490866,-0.0009995462818490866,0.0,0.0,9,183,-0.0016228625800485494,-0.0016521967472862172,-0.0010264011795493052,-0.0024840590066710355,0.0038268783116652827,0.0014845127248219489,0.0014845127248219489,0.0006233162981994628,0.0006233162981994628,0.0006526504654371305,0.0006526504654371305
